Name,ComuneName,LabelName,ProvinceName,MunicipeName
comunas,Barra do Dande,Barra do Dande,Bengo,Dande
comunas,Caxito,Caxito,Bengo,Dande
comunas,Mabubas,Mabubas,Bengo,Dande
comunas,Quicabo,Quicabo,Bengo,Dande
comunas,Úcua,Úcua,Bengo,Dande
comunas,Quibaxe,Quibaxe,Bengo,Dembos
comunas,Piri,Piri,Bengo,Dembos
comunas,Paredes,Paredes,Bengo,Dembos
comunas,Coxe,Coxe,Bengo,Dembos
comunas,Canacassala,Canacassala,Bengo,Nambuangongo
comunas,Quicunzo,Quicunzo,Bengo,Nambuangongo
comunas,Muxaluando,Muxaluando,Bengo,Nambuangongo
comunas,Quixico,Quixico,Bengo,Nambuangongo
comunas,Gombe,Gombe,Bengo,Nambuangongo
comunas,Cage,Cage,Bengo,Nambuangongo
comunas,Zala,Zala,Bengo,Nambuangongo
comunas,Bula Atumba,Bula Atumba,Bengo,Bula Atumba
comunas,Quiage,Quiage,Bengo,Bula Atumba
comunas,Bela Vista,Bela Vista,Bengo,Ambriz
comunas,Ambriz,Ambriz,Bengo,Ambriz
comunas,Tabi,Tabi,Bengo,Ambriz
comunas,Pango Aluquém,Pango Aluquém,Bengo,Pango Aluquém
comunas,Cazuangongo,Cazuangongo,Bengo,Pango Aluquém
comunas,Benguela - S/Comuna/Distrito,Benguela - S/Comuna/Distrito,Benguela,Benguela
comunas,Ganda,Ganda,Benguela,Ganda
comunas,Ebanga,Ebanga,Benguela,Ganda
comunas,Chicuma,Chicuma,Benguela,Ganda
comunas,Babaera,Babaera,Benguela,Ganda
comunas,Casseque,Casseque,Benguela,Ganda
comunas,Egito Praia,Egito Praia,Benguela,Lobito
comunas,Lobito,Lobito,Benguela,Lobito
comunas,Canata,Canata,Benguela,Lobito
comunas,Canjala,Canjala,Benguela,Lobito
comunas,Catumbela,Catumbela,Benguela,Catumbela
comunas,Biópio,Biópio,Benguela,Catumbela
comunas,Gama,Gama,Benguela,Catumbela
comunas,Praia Bebé,Praia Bebé,Benguela,Catumbela
comunas,Bocoio,Bocoio,Benguela,Bocoio
comunas,Cubal do Lumbo,Cubal do Lumbo,Benguela,Bocoio
comunas,Monte Belo,Monte Belo,Benguela,Bocoio
comunas,Chila,Chila,Benguela,Bocoio
comunas,Passe,Passe,Benguela,Bocoio
comunas,Balombo,Balombo,Benguela,Balombo
comunas,Chingongo,Chingongo,Benguela,Balombo
comunas,Chindumbo,Chindumbo,Benguela,Balombo
comunas,Maca Mombolo,Maca Mombolo,Benguela,Balombo
comunas,Capupa,Capupa,Benguela,Cubal
comunas,Cubal,Cubal,Benguela,Cubal
comunas,Tumbulo,Tumbulo,Benguela,Cubal
comunas,Iambala,Iambala,Benguela,Cubal
comunas,Dombe Grande,Dombe Grande,Benguela,Baía Farta
comunas,Baía Farta,Baía Farta,Benguela,Baía Farta
comunas,Calohanga,Calohanga,Benguela,Baía Farta
comunas,Equimina,Equimina,Benguela,Baía Farta
comunas,Caimbambo,Caimbambo,Benguela,Caimbambo
comunas,Catengue,Catengue,Benguela,Caimbambo
comunas,Caiave,Caiave,Benguela,Caimbambo
comunas,Canhamela,Canhamela,Benguela,Caimbambo
comunas,Viangombe,Viangombe,Benguela,Caimbambo
comunas,Chongoroi,Chongoroi,Benguela,Chongorói
comunas,Bolonguera,Bolonguera,Benguela,Chongorói
comunas,Camuine,Camuine,Benguela,Chongorói
comunas,Andulo,Andulo,Bié,Andulo
comunas,Calucinga,Calucinga,Bié,Andulo
comunas,Cassumbe,Cassumbe,Bié,Andulo
comunas,Chivaúlo,Chivaúlo,Bié,Andulo
comunas,Cachingues,Cachingues,Bié,Chitembo
comunas,Chitembo,Chitembo,Bié,Chitembo
comunas,Mutumbo,Mutumbo,Bié,Chitembo
comunas,Mumbué,Mumbué,Bié,Chitembo
comunas,Malengue,Malengue,Bié,Chitembo
comunas,Soma Cuanza,Soma Cuanza,Bié,Chitembo
comunas,Cuito,Cuito,Bié,Cuito
comunas,Chicala,Chicala,Bié,Cuito
comunas,Cunje,Cunje,Bié,Cuito
comunas,Trumba,Trumba,Bié,Cuito
comunas,Cambândua,Cambândua,Bié,Cuito
comunas,Ringoma,Ringoma,Bié,Camacupa
comunas,Camacupa,Camacupa,Bié,Camacupa
comunas,Muinha,Muinha,Bié,Camacupa
comunas,Umpulo,Umpulo,Bié,Camacupa
comunas,Cuanza,Cuanza,Bié,Camacupa
comunas,Chinguar,Chinguar,Bié,Chinguar
comunas,Cutato,Cutato,Bié,Chinguar
comunas,Cangote,Cangote,Bié,Chinguar
comunas,Catabola,Catabola,Bié,Catabola
comunas,Chipeta,Chipeta,Bié,Catabola
comunas,Caiuera,Caiuera,Bié,Catabola
comunas,Chiuca,Chiuca,Bié,Catabola
comunas,Sande,Sande,Bié,Catabola
comunas,Cunhinga,Cunhinga,Bié,Cunhinga
comunas,Belo Horizonte,Belo Horizonte,Bié,Cunhinga
comunas,Luando,Luando,Bié,Cuemba
comunas,Munhango,Munhango,Bié,Cuemba
comunas,Cuemba,Cuemba,Bié,Cuemba
comunas,Sachinemuna,Sachinemuna,Bié,Cuemba
comunas,Nharêa,Nharêa,Bié,Nharêa
comunas,Gamba,Gamba,Bié,Nharêa
comunas,Lúbia,Lúbia,Bié,Nharêa
comunas,Caiei,Caiei,Bié,Nharêa
comunas,Dando,Dando,Bié,Nharêa
comunas,Cabinda,Cabinda,Cabinda,Cabinda
comunas,Malembo,Malembo,Cabinda,Cabinda
comunas,Tando Zinze,Tando Zinze,Cabinda,Cabinda
comunas,Cacongo,Cacongo,Cabinda,Cacongo
comunas,Dinge,Dinge,Cabinda,Cacongo
comunas,Massabi,Massabi,Cabinda,Cacongo
comunas,Buco Zau,Buco Zau,Cabinda,Buco Zau
comunas,Necuto,Necuto,Cabinda,Buco Zau
comunas,Inhuca,Inhuca,Cabinda,Buco Zau
comunas,Miconje,Miconje,Cabinda,Belize
comunas,Belize,Belize,Cabinda,Belize
comunas,Luali,Luali,Cabinda,Belize
comunas,Caiundo,Caiundo,Cuando Cubango,Menongue
comunas,Menongue,Menongue,Cuando Cubango,Menongue
comunas,Cueio,Cueio,Cuando Cubango,Menongue
comunas,Missombo,Missombo,Cuando Cubango,Menongue
comunas,Mavinga,Mavinga,Cuando Cubango,Mavinga
comunas,Cutuile,Cutuile,Cuando Cubango,Mavinga
comunas,Cunjamba,Cunjamba,Cuando Cubango,Mavinga
comunas,Luengue,Luengue,Cuando Cubango,Mavinga
comunas,Dirico,Dirico,Cuando Cubango,Dirico
comunas,Mucusso,Mucusso,Cuando Cubango,Dirico
comunas,Xamavera,Xamavera,Cuando Cubango,Dirico
comunas,Lupire,Lupire,Cuando Cubango,Cuito Cuanavale
comunas,Cuito Cuanavale,Cuito Cuanavale,Cuando Cubango,Cuito Cuanavale
comunas,Longa,Longa,Cuando Cubango,Cuito Cuanavale
comunas,Baixo Longa,Baixo Longa,Cuando Cubango,Cuito Cuanavale
comunas,Cuchi,Cuchi,Cuando Cubango,Cuchi
comunas,Cutato,Cutato,Cuando Cubango,Cuchi
comunas,Chinguanja,Chinguanja,Cuando Cubango,Cuchi
comunas,Vissati,Vissati,Cuando Cubango,Cuchi
comunas,Rivungo,Rivungo,Cuando Cubango,Rivungo
comunas,Xipundo,Xipundo,Cuando Cubango,Rivungo
comunas,Luiana,Luiana,Cuando Cubango,Rivungo
comunas,Maué,Maué,Cuando Cubango,Calai
comunas,Calai,Calai,Cuando Cubango,Calai
comunas,Mavengue,Mavengue,Cuando Cubango,Calai
comunas,Savate,Savate,Cuando Cubango,Cuangar
comunas,Caíla,Caíla,Cuando Cubango,Cuangar
comunas,Cuangar,Cuangar,Cuando Cubango,Cuangar
comunas,Rito,Rito,Cuando Cubango,Nancova
comunas,Nancova,Nancova,Cuando Cubango,Nancova
comunas,Ndalatando,Ndalatando,Cuanza-Norte,Cazengo
comunas,Canhoca,Canhoca,Cuanza-Norte,Cazengo
comunas,Golungo Alto,Golungo Alto,Cuanza-Norte,Golungo Alto
comunas,Cambondo,Cambondo,Cuanza-Norte,Golungo Alto
comunas,Cêrca,Cêrca,Cuanza-Norte,Golungo Alto
comunas,Quiluanje,Quiluanje,Cuanza-Norte,Golungo Alto
comunas,Dondo,Dondo,Cuanza-Norte,Cambambe
comunas,Massangano,Massangano,Cuanza-Norte,Cambambe
comunas,Dange ya Menha,Dange ya Menha,Cuanza-Norte,Cambambe
comunas,Zenza do Itombe,Zenza do Itombe,Cuanza-Norte,Cambambe
comunas,São Pedro da Quilemba,São Pedro da Quilemba,Cuanza-Norte,Cambambe
comunas,Samba Cajú,Samba Cajú,Cuanza-Norte,Samba Cajú
comunas,Samba Lucala,Samba Lucala,Cuanza-Norte,Samba Cajú
comunas,Camabatela,Camabatela,Cuanza-Norte,Ambaca
comunas,Tango,Tango,Cuanza-Norte,Ambaca
comunas,Máua,Máua,Cuanza-Norte,Ambaca
comunas,Bindo,Bindo,Cuanza-Norte,Ambaca
comunas,Luínga,Luínga,Cuanza-Norte,Ambaca
comunas,Lucala,Lucala,Cuanza-Norte,Lucala
comunas,Quiangombe,Quiangombe,Cuanza-Norte,Lucala
comunas,Banga,Banga,Cuanza-Norte,Banga
comunas,Caculo Cabaça,Caculo Cabaça,Cuanza-Norte,Banga
comunas,Aldeia Nova,Aldeia Nova,Cuanza-Norte,Banga
comunas,Cariamba,Cariamba,Cuanza-Norte,Banga
comunas,Bolongongo,Bolongongo,Cuanza-Norte,Bolongongo
comunas,Terreiro,Terreiro,Cuanza-Norte,Bolongongo
comunas,Quiquiemba,Quiquiemba,Cuanza-Norte,Bolongongo
comunas,Quiculungo - S/Comuna/Distrito,Quiculungo - S/Comuna/Distrito,Cuanza-Norte,Quiculungo
comunas,Quilombo dos Dembos,Quilombo dos Dembos,Cuanza-Norte,Ngonguembo
comunas,Camame,Camame,Cuanza-Norte,Ngonguembo
comunas,Cavunga,Cavunga,Cuanza-Norte,Ngonguembo
comunas,Sumbe,Sumbe,Cuanza-Sul,Sumbe
comunas,Gungo,Gungo,Cuanza-Sul,Sumbe
comunas,Gangula,Gangula,Cuanza-Sul,Sumbe
comunas,Quicombo,Quicombo,Cuanza-Sul,Sumbe
comunas,Calulo,Calulo,Cuanza-Sul,Libolo
comunas,Munenga,Munenga,Cuanza-Sul,Libolo
comunas,Cabuta,Cabuta,Cuanza-Sul,Libolo
comunas,Quissongo,Quissongo,Cuanza-Sul,Libolo
comunas,Gabela,Gabela,Cuanza-Sul,Amboim
comunas,Assango,Assango,Cuanza-Sul,Amboim
comunas,Cassongue,Cassongue,Cuanza-Sul,Cassongue
comunas,Pambangala,Pambangala,Cuanza-Sul,Cassongue
comunas,Dumbi,Dumbi,Cuanza-Sul,Cassongue
comunas,Atóme,Atóme,Cuanza-Sul,Cassongue
comunas,Capolo,Capolo,Cuanza-Sul,Porto Amboim
comunas,Porto Amboim,Porto Amboim,Cuanza-Sul,Porto Amboim
comunas,Quibala,Quibala,Cuanza-Sul,Quibala
comunas,Dala Cachibo,Dala Cachibo,Cuanza-Sul,Quibala
comunas,Cariango,Cariango,Cuanza-Sul,Quibala
comunas,Lonhe,Lonhe,Cuanza-Sul,Quibala
comunas,Seles,Seles,Cuanza-Sul,Seles
comunas,Amboiva,Amboiva,Cuanza-Sul,Seles
comunas,Botera,Botera,Cuanza-Sul,Seles
comunas,Sanga,Sanga,Cuanza-Sul,Cela
comunas,Waku Kungo,Waku Kungo,Cuanza-Sul,Cela
comunas,Quissanga Cunjo,Quissanga Cunjo,Cuanza-Sul,Cela
comunas,Mussende,Mussende,Cuanza-Sul,Mussende
comunas,Quienha,Quienha,Cuanza-Sul,Mussende
comunas,São Lucas,São Lucas,Cuanza-Sul,Mussende
comunas,Quilenda,Quilenda,Cuanza-Sul,Quilenda
comunas,Quirimbo,Quirimbo,Cuanza-Sul,Quilenda
comunas,Ebo,Ebo,Cuanza-Sul,Ebo
comunas,Condé,Condé,Cuanza-Sul,Ebo
comunas,Quissanje,Quissanje,Cuanza-Sul,Ebo
comunas,Conda,Conda,Cuanza-Sul,Conda
comunas,Cunjo,Cunjo,Cuanza-Sul,Conda
comunas,Humbe,Humbe,Cunene,Ombadja
comunas,Mucope,Mucope,Cunene,Ombadja
comunas,Naulila,Naulila,Cunene,Ombadja
comunas,Ombala yo Mungu,Ombala yo Mungu,Cunene,Ombadja
comunas,Xangongo,Xangongo,Cunene,Ombadja
comunas,Ondjiva,Ondjiva,Cunene,Cuanhama
comunas,Nehone Cafima,Nehone Cafima,Cunene,Cuanhama
comunas,Evale,Evale,Cunene,Cuanhama
comunas,Tchomporo Oximolo,Tchomporo Oximolo,Cunene,Cuanhama
comunas,Môngwa,Môngwa,Cunene,Cuanhama
comunas,Oncócua,Oncócua,Cunene,Curoca
comunas,Chitado,Chitado,Cunene,Curoca
comunas,Cahama,Cahama,Cunene,Cahama
comunas,Otchinjau,Otchinjau,Cunene,Cahama
comunas,Mupa,Mupa,Cunene,Cuvelai
comunas,Mukolongodjo,Mukolongodjo,Cunene,Cuvelai
comunas,Cubati,Cubati,Cunene,Cuvelai
comunas,Calonga,Calonga,Cunene,Cuvelai
comunas,Namacunde,Namacunde,Cunene,Namacunde
comunas,Chiede,Chiede,Cunene,Namacunde
comunas,Bimbe,Bimbe,Huambo,Bailundo
comunas,Bailundo,Bailundo,Huambo,Bailundo
comunas,Lunge,Lunge,Huambo,Bailundo
comunas,Luvemba,Luvemba,Huambo,Bailundo
comunas,Hengue,Hengue,Huambo,Bailundo
comunas,Huambo,Huambo,Huambo,Huambo
comunas,Calima,Calima,Huambo,Huambo
comunas,Chipipa,Chipipa,Huambo,Huambo
comunas,Londuimbali,Londuimbali,Huambo,Londuimbali
comunas,Cumbira,Cumbira,Huambo,Londuimbali
comunas,Galanga,Galanga,Huambo,Londuimbali
comunas,Ussoque,Ussoque,Huambo,Londuimbali
comunas,Alto Hama,Alto Hama,Huambo,Londuimbali
comunas,Caála,Caála,Huambo,Caála
comunas,Catata,Catata,Huambo,Caála
comunas,Calenga,Calenga,Huambo,Caála
comunas,Cuima,Cuima,Huambo,Caála
comunas,Sambo,Sambo,Huambo,Chicala-Choloanga
comunas,Mbave,Mbave,Huambo,Chicala-Choloanga
comunas,Chicala,Chicala,Huambo,Chicala-Choloanga
comunas,Samboto,Samboto,Huambo,Chicala-Choloanga
comunas,Chiumbo,Chiumbo,Huambo,Cachiungo
comunas,Chinhama,Chinhama,Huambo,Cachiungo
comunas,Cachiungo,Cachiungo,Huambo,Cachiungo
comunas,Mungo,Mungo,Huambo,Mungo
comunas,Cambuengo,Cambuengo,Huambo,Mungo
comunas,Lépi,Lépi,Huambo,Longonjo
comunas,Iava,Iava,Huambo,Longonjo
comunas,Chilata,Chilata,Huambo,Longonjo
comunas,Longonjo,Longonjo,Huambo,Longonjo
comunas,Ucuma,Ucuma,Huambo,Ucuma
comunas,Cacoma,Cacoma,Huambo,Ucuma
comunas,Mundundo,Mundundo,Huambo,Ucuma
comunas,Quipeio,Quipeio,Huambo,Ecunha
comunas,Ecunha,Ecunha,Huambo,Ecunha
comunas,Chinjenje,Chinjenje,Huambo,Chinjenje
comunas,Chiaca,Chiaca,Huambo,Chinjenje
comunas,Caconda,Caconda,Huíla,Caconda
comunas,Gungue,Gungue,Huíla,Caconda
comunas,Uaba,Uaba,Huíla,Caconda
comunas,Cusse,Cusse,Huíla,Caconda
comunas,Chimbemba,Chimbemba,Huíla,Gambos
comunas,Chiange,Chiange,Huíla,Gambos
comunas,Humpata - S/Comuna/Distrito,Humpata - S/Comuna/Distrito,Huíla,Humpata
comunas,Lubango,Lubango,Huíla,Lubango
comunas,Hoque,Hoque,Huíla,Lubango
comunas,Arimba,Arimba,Huíla,Lubango
comunas,Huíla,Huíla,Huíla,Lubango
comunas,Cuvango,Cuvango,Huíla,Cuvango
comunas,Galangue,Galangue,Huíla,Cuvango
comunas,Vicungo,Vicungo,Huíla,Cuvango
comunas,Quipungo - S/Comuna/Distrito,Quipungo - S/Comuna/Distrito,Huíla,Quipungo
comunas,Chibia,Chibia,Huíla,Chibia
comunas,Jau,Jau,Huíla,Chibia
comunas,Capunda Cavilongo,Capunda Cavilongo,Huíla,Chibia
comunas,Quihita,Quihita,Huíla,Chibia
comunas,Quilengues,Quilengues,Huíla,Quilengues
